Author,Year,Title,Journal,Keywords,Abstract
"Pailler, S.; Wagner, J. E.; McPeak, J. G.; Floyd, D. W.;",2009,"Identifying Conservation Opportunities among Malink, Bushmeat Hunters of Guinea, West Africa",Human Ecology,Bushmeat; Hunting; Guinea; Conservation; Malinke; national-park; mammalian diversity; upper niger; forests,"Bushmeat hunting plays an important role in many rural African households; however, hunting pressures are growing, threatening the survival of many bushmeat species. Wildlife resources are rapidly dwindling; yet effective conservation strategies have been difficult to develop and implement. Many dimensions of bushmeat resource use have not been sufficiently explored and are consequently ignored in conservation interventions. To improve understanding of hunting practice, we conducted semistructured interviews with 74 hunters in three Malink, villages in Guinea, West Africa regarding motivations to hunt and hunting processes. In addition, we investigated the local bushmeat trade in a nearby city. Using data from previous studies, and Robinson and Redford's (1991) model, we find that Red-flanked duiker, bushbuck and buffalo are unsustainably harvested. Malink, hunters' perspectives offer both opportunities and obstacles for conservation which will be valuable for the development of conservation strategies in this area."
"Pangau-Adam, M.; Noske, R.; Muehlenberg, M.;",2012,"Wildmeat or Bushmeat? Subsistence Hunting and Commercial Harvesting in Papua (West New Guinea), Indonesia",Human Ecology,Wildmeat; Bushmeat; Rusa deer; Sustainable hunting; Tropical forests; Threatened species; Irian Jaya; Papua Indonesia; tropical forests; sustainability; impact; conservation; populations; sulawesi,"It is well known that wild game provides a significant proportion of the dietary protein of the indigenous people of the eastern half of New Guinea (PNG), but almost nothing is known of its importance in the western half (the Indonesian province of Papua or Irian Jaya). We quantified hunting effort, harvest rates and wild meat consumption and sale in the Jayapura region of north-east Papua through interviews with 147 hunters from 21 villages and meal surveys in 93 households. Ten species of mammals, seven species of birds and at least two species of reptiles were harvested in our study area, but the introduced wild pig and rusa deer were the major target species. Hunting in our study area has shifted from a purely subsistence activity towards a more commercial form at least partly due to the emergence of markets created by Indonesian transmigrants. Although the hunting of non-indigenous and certain native species might be sustainable, the maintenance of populations of large threatened species will require sensitive management."
"Papworth, S. K.; Rist, J.; Coad, L.; Milner-Gulland, E. J.;",2009,Evidence for shifting baseline syndrome in conservation,Conservation Letters,Perceptions; bushmeat; farmland birds; Gabon; Equatorial Guinea; UK; amnesia; memory illusion; monitoring; change blindness; gulf-of-california; biodiversity; fisheries; collapse,"Shifting baseline syndrome (SBS) is often referred to as a key issue for conservation, yet there is little evidence for its existence. The presence of SBS could influence the validity of participatory monitoring, local ecological knowledge, community based conservation, and conservation education. We outline two forms of SBS: (1) generational amnesia, where knowledge extinction occurs because younger generations are not aware of past biological conditions and (2) personal amnesia, where knowledge extinction occurs as individuals forget their own experience. Two conditions are essential to the identification of SBS: (1) biological change must be present in the system and (2) any perceived changes must be consistent with the biological data. If age or experience-related differences in perception are then found, generational amnesia may be occurring. Alternately, if individuals believe current conditions also occurred in the past, personal amnesia may be occurring. Previous studies have not fully addressed these conditions, and hence cannot provide indisputable evidence for the existence of SBS. We present three case studies to examine these issues, which demonstrate both forms of SBS. Shifting baseline syndrome is no longer a cautionary tale, but instead is a real problem for those using human perceptions of change to inform conservation policy-making or management."
"Parathian, H. E.; Maldonado, A. M.;",2010,Human-Nonhuman Primate Interactions Amongst Tikuna People: Perceptions and Local Initiatives for Resource Management in Amacayacu in the Colombian Amazon,American Journal of Primatology,primate conservation; ethnoprimatology; resource management; subsistence; hunting; cultural change; communities; forests; conservation; lessons; density,"This study assesses the impact of hunting on the densities of nonhuman primates in two indigenous Tikuna territories (Mocagua and San Martin), overlapping Amacayacu National Park in the Colombian Amazon. Large-bodied primates were once favored prey by Tikunas, but are now rarely hunted owing to the diminishing primate populations. We evaluate the effect of a hunting ban on woolly monkeys (Lagothrix lagothricha) by the residents of Mocagua, using qualitative and quantitative methods. Hunting records showed that from February 2005 to February 2009, a total of 25,142 kg of mammal bushmeat were harvested in Mocagua and San Martin. Primates constituted 345 kg of the total harvest. From 223 kg of large-bodied primates extracted for subsistence purposes, 160 kg were hunted in San Martin and 64 kg in Mocagua. Large-bodied primates made up 70% of the total primate biomass in Mocagua (398 kg/km(2)) and 22% in San Martin (199 kg/km(2)). From dietary records, we found bushmeat constituted 30% of protein consumption in Mocagua and 37% in San Martin. Primates were absent in records from Mocagua, and appeared only three times in those from San Martin suggesting inconsistencies with hunting data. Despite its moderate consumption, bushmeat was identified as a highly valued food source during focus group activities. Primate pet-keeping and part utilization were observed in San Martin but not in Mocagua, possibly as a consequence of fewer primates being hunted. We suggest that Mocagua provides an example of how community-based conservation strategies can be achieved, where opportunities for employment in tourism and alternative food sources are available. Am. J. Primatol. 72: 855-865, 2010. (C) 2010 Wiley-Liss, Inc."
"Parry, L.; Barlow, J.; Pereira, H.;",2014,Wildlife Harvest and Consumption in Amazonia's Urbanized Wilderness,Conservation Letters,Brazil; bushmeat; cities; fishing; hunting; sustainability; urbanization; west-africa; forest; conservation; bushmeat; impact; sustainability; consequences; migration; drivers; program,"Urbanization of forested wilderness could threaten biodiversity if expanding cities drive demand for wildlife as food. We examined the scale and drivers of urban wildlife consumption in the forested prefrontier of Brazilian Amazonia, defined as municipalities (n = 73) with over 90% of their original forest cover still intact. A representative survey of two prefrontier cities indicated that virtually all urban households consume wildlife, including fish (99%), bushmeat (mammals and birds; 79%), chelonians (48%) and caimans (28%)alarming evidence of an underreported wild-meat crisis in the heart of Amazonia. We also report rapid growth of cities and inadequate resources to deter illegal consumption in this urbanized wilderness covering 1.86 million km(2). We evaluate relevant policy levers and conclude that poverty-alleviation programs may accelerate a long-term transition from consumption of wildlife as an economical source of protein for the poor to luxury food for the wealthy. We argue that innovative environmental governance could limit wildlife consumption to only harvest-tolerant species. Researchers and policy-makers should engage with policies and ideas that promote poverty alleviation and supply poor city-dwellers with affordable alternatives to eating wildlife."
"Parry, L.; Barlow, J.; Peres, C. A.;",2009,Allocation of hunting effort by Amazonian smallholders: Implications for conserving wildlife in mixed-use landscapes,Biological Conservation,Game birds; Large mammals; Non-timber forest products; Optimal foraging; Plantation forestry; Secondary forest; plantation forests; tropical forests; brazilian amazon; seed dispersal; western panama; rain-forest; peruvian amazon; conservation; management; secondary,"Most tropical forest landscapes are modified by humans, but the effects of these changes on rural hunting patterns and hunted vertebrate populations remain poorly understood. We investigated subsistence hunting patterns across a highly heterogeneous landscape mosaic in the Brazilian Amazon, where hunters from three villages had access to primary forest, active and fallow agricultural fields, and active and fallow Eucalyptus plantations. Landscape composition and the areas used by hunters were defined using a remote-sensing approach combined with mapping. We quantified hunting effort accounting for the availability and spatial distribution of each habitat. Overall, 71% of the kills were sourced in primary forest, but hunting in primary forest, which was often combined with other extractive activities (such as Brazil nut harvesting), yielded the lowest catch-per-unit-effort of all habitats. Hunting effort per unit area was highest in fallow fields, followed by primary forest, and both of these habitats were over-represented within village hunting catchments when compared to the composition of the available landscape. Active and fallow fields sourced a limited number of species known to be resilient to hunting, but hunting had additional benefits through crop-raider control. In contrast, hunting pressure in active and fallow plantations was low, despite a high catch-per-unit-effort, presumably because there were limited additional benefits from visiting these habitats. These results indicate that large-scale tree plantation and forest regeneration schemes have limited conservation potential for large vertebrates, as they support few forest specialists and fail to attract hunters away from primary forest, (C) 2009 Elsevier Ltd. All rights reserved."
"Parry, L.; Barlow, J.; Peres, C. A.;",2009,Hunting for Sustainability in Tropical Secondary Forests,Conservation Biology,bushmeat; deforestation; food security; game birds; hunting; large; mammals; secondary forest; sustainability; brazilian amazon; peruvian amazon; impact; conservation; biodiversity; agriculture; dispersal; patterns; primates; wildlife,"The interaction between land-use change and the sustainability of hunting is poorly understood but is critical for sustaining hunted vertebrate populations and a protein supply for the rural poor. We investigated sustainability of hunting in an Amazonian landscape mosaic, where a small human population had access to large areas of both primary and secondary forest. Harvestable production of mammals and birds was calculated from density estimates. We compared production with offtake from three villages and used catch-per-unit-effort as an independent measure of prey abundance. Most species were hunted unsustainably in primary forest, leading to local depletion of the largest primates and birds. The estimated sustainable supply of wild meat was higher for primary (39 kg center dot km(-2) center dot yr(-1)) than secondary forest (22 kg center dot km(-2) center dot yr(-1)) because four species were absent and three species at low abundance in secondary forests. Production of three disturbance-tolerant mammal species was 3 times higher in secondary than in primary forest, but hunting led to overexploitation of one species. Our data suggest that an average Amazonian smallholder would require >= 3.1 km(2) of secondary regrowth to ensure a sustainable harvest of forest vertebrates. We conclude that secondary forests can sustainably provide only 2% of the required protein intake of Amazonian smallholders and are unlikely to be sufficient for sustainable hunting in other tropical forest regions."
"Parry, L.; Peres, C. A.;",2015,Evaluating the use of local ecological knowledge to monitor hunted tropical-forest wildlife over large spatial scales,Ecology and Society,Amazon; Brazil; game; harvesting; hunting; interviews; large mammals; mammal populations; species richness; landscape-scale; empty forest; conservation; science; abundance; sustainability; management; amazonia,"Monitoring the distribution and abundance of hunted wildlife is critical to achieving sustainable resource use, yet adequate data are sparse for most tropical regions. Conventional methods for monitoring hunted forest-vertebrate species require intensive in situ survey effort, which severely constrains spatial and temporal replication. Integrating local ecological knowledge (LEK) into monitoring and management is appealing because it can be cost-effective, enhance community participation, and provide novel insights into sustainable resource use. We develop a technique to monitor population depletion of hunted forest wildlife in the Brazilian Amazon, based on the local ecological knowledge of rural hunters. We performed rapid interview surveys to estimate the landscape-scale depletion of ten large-bodied vertebrate species around 161 Amazonian riverine settlements. We assessed the explanatory and predictive power of settlement and landscape characteristics and were able to develop robust estimates of local faunal depletion. By identifying species-specific drivers of depletion and using secondary data on human population density, land form, and physical accessibility, we then estimated landscape-and regional-scale depletion. White-lipped peccary (Tayassu pecari), for example, were estimated to be absent from 17% of their putative range in Brazil's largest state (Amazonas), despite 98% of the original forest cover remaining intact. We found evidence that bushmeat consumption in small urban centers has far-reaching impacts on some forest species, including severe depletion well over 100 km from urban centers. We conclude that LEK-based approaches require further field validation, but have significant potential for community-based participatory monitoring as well as cost-effective, large-scale monitoring of threatened forest species."
"Pearce, T.; Ford, J.; Willox, A. C.; Smit, B.;",2015,"Inuit Traditional Ecological Knowledge (TEK), Subsistence Hunting and Adaptation to Climate Change in the Canadian Arctic",Arctic,adaptation; Inuit; Inuit Qaujimajatuqangit (IQ); resilience; traditional; ecological knowledge (TEK); subsistence hunting; vulnerability; sea-ice; indigenous knowledge; environmental assessment; northwest-territories; freeze/thaw processes; adaptive capacity; human; geographies; vulnerability; nunavut; resilience,"This paper examines the role of Inuit traditional ecological knowledge (TEK) in adaptation to climate change in the Canadian Arctic. It focuses on Inuit relationships with the Arctic environment, including hunting knowledge and land skills, and examines their roles in adaptation to biophysical changes that affect subsistence hunting. In several instances, TEK underpins competency in subsistence and adaptations to changing conditions, which includes flexibility with regard to seasonal cycles of hunting and resource use, hazard avoidance through detailed knowledge of the environment and understanding of ecosystem processes, and emergency preparedness, e.g., knowing what supplies to take when traveling and how to respond in emergency situations. Despite the documented importance of TEK in adaptation and in maintaining a level of competency in subsistence, the relationships between TEK and adaptation to climate change are not well defined in the scholarly literature. This paper aims to conceptualize the relationships between TEK and adaptation to climate change by di-awing on case study research with Inuit in the Canadian Arctic. TEK is considered an element of adaptive capacity (or resilience) that is expressed as adaptation if TEK is drawn upon to adapt to changing conditions. This capacity depends on the development, accumulation, and transmission of TEK within and among generations."
"Peres, C. A.;",1997,Effects of habitat quality and hunting pressure on arboreal folivore densities in neotropical forests: A case study of howler monkeys (Alouatta spp.),Folia Primatologica,arboreal folivores; game hunting; foliage quality; primate densities; terra firme forest; varzea forest; Amazonia; tropical forest; french-guiana; costa-rica; population; primates; diet; herbivory; phenology; mammals; biomass,"This large-scale geographic comparison examines the effects of subsistence hunting pressure and several indirect indicators of habitat quality on the abundance of howler monkeys (Alouatta spp.), the best studied and the most folivorous of all platyrrhine primates. Alouatta population densities were obtained from a standardized series of line-transect censuses undertaken at 23 Amazonian forest sites (1987-1995), including annually flooded (varzea), unflooded (terra firme), and eastern Amazonian transitional terra firme forests. A total of 83 density estimates from elsewhere were compiled from a comprehensive review of field studies from southern Mexico to northern Argentina. Howler density and biomass in Neotropical forests is profoundly affected by degree of hunting pressure, structural heterogeneity of the forest canopy, and to a lesser extent, the rainfall seasonality, total rainfall, and latitude of a given site. Mild gradients of forest elevation were a poor predictor of howler densities. In evergreen forests of lowland Amazonia, distance to major white-water rivers, which covaries with forest heterogeneity and soil fertility, is the best single predictor of howler densities. In Amazonia, habitat-specific patterns of distribution and abundance of Alouatta and other arboreal folivores conform to geochemical gradients determined by watershed types and their consequences for soil fertility. Results presented here confirm suggestions for Old World generalist herbivores that howler monkeys face strong dietary constraints which are most likely related to quality, phenology and productivity of digestible foliage during periods of resource scarcity."
"Peres, C. A.;",2000,Effects of subsistence hunting on vertebrate community structure in Amazonian forests,Conservation Biology,neotropical forests; game; recruitment; dispersal; wildlife; choice; seeds,"Subsistence hunting affects vast tracts of tropical wilderness that otherwise remain structurally unaltered, yet distinguishing hunted from nonhunted tropical forests presents a difficult problem because this diffuse form of resource extraction leaves few visible signs of its occurrence. I used a standardized series of line-transect censuses conducted over a 10-year period to examine the effects of subsistence game harvest on the structure of vertebrate communities in 25 Amazonian forest sites subjected to varying levels of hunting pressure. Crude vertebrate biomass, which was highly correlated with hunting pressure, gradually declined from nearly 1200 kg km(-2) at nonhunted sites to less than 200 kg km(-2) at heavily hunted sites. Hunting had a negative effect on the total biomass and relative abundance of vertebrate species in different size classes at these forest sites, but it did not affect their overall density. In particular, persistent hunting markedly reduced the density of large-bodied game species (>5 kg), which contributed a large proportion of the overall community biomass at nonhunted sites (65-78%) and lightly hunted sites (55-71%). Nutrient-rich floodplain forests contained a consistently greater game biomass than nutrient-poor unflooded forests, once I controlled for the effects of hunting pressure. Conservative estimates of game yields indicate that as many as 23.5 million game vertebrates, equivalent to 89.224 tons of bushmeat with a market value of US$190.7 million, are consumed each year by the rural population of Brazilian Amazonia, which illustrates the enormous socioeconomic value of game resources in the region. My cross-site comparison documents the staggering effect of subsistence hunters on tropical forest vertebrate communities and highlights the importance of considering forest types and forest productivity in game management programs."
"Peres, C. A.;",2001,Synergistic effects of subsistence hunting and habitat fragmentation on Amazonian forest vertebrates,Conservation Biology,tropical rain-forest; community structure; mammal communities; tayassu-pecari; conservation; extinction; populations; neotropics; resources; game,"Subsistence game bunting has profound negative effects on the species diversity, standing biomass, and size structure of vertebrate assemblages in Amazonian forests that otherwise remain largely undisturbed. These effects are likely to be considerably aggravated by forest fragmentation because fragments are more accessible to hunters, allow no (or very low rates of) recolonization from nonharvested source populations, and may provide a lower-quality resource base for the frugivore-granivore vertebrate fauna. I examined the likelihood of midsized to large-bodied bird and mammal populations persisting in Amazonian forest fragments of variable sizes whenever they continue to be harvested by subsistence hunters in the aftermath of isolation. I used data from a comprehensive compilation of game-harvest studies throughout Neotropical forests to estimate the degree to which different species and populations have been overharvested and then calculated the range of minimum forest areas required to maintain a sustainable harvest. The size distribution of 5564 Amazonian forest fragments-estimated from Landsat images of six regions of southern and eastern Brazilian Amazonia-clearly shows that these are predominantly small and rarely exceed 10 ha, suggesting that persistent overhunting is likely to drive most midsized to large vertebrate populations to local extinction in fragmented forest landscapes. Although experimental studies on this negative synergism remain largely unavailable, the prospect that increasingly fragmented Neotropical forest regions can retain their full assemblages of avian and mammalian species is unlikely."
"Peres, C. A.; Dolman, P. M.;",2000,Density compensation in neotropical primate communities: evidence from 56 hunted and nonhunted Amazonian forests of varying productivity,Oecologia,density compensation; competitive release; primate community; primate; biomass; forest productivity; seed-predator; body size; competition; monkeys; island; guild; diet; conservation; responses; tamarins,"Density compensation is a community-level phenomenon in which increases in the abundance of some species may offset the population decline, extirpation, or absence of other potentially interacting competitors. In this paper we examine the evidence for density compensation in neotropical primate assemblages using data from 56 hunted and nonhunted, but otherwise undisturbed, forest sites of Amazonia and the Guianan shields from which population density estimates are available far all diurnal primate species. We found good evidence of density compensation of the residual assemblage of nonhunted mid-sized species where the large-bodied (ateline) species had been severely reduced in numbers or driven to local extinction by subsistence hunters. Only weak evidence for density compensation, however, was detected in small-bodied species. These conclusions are based on the effects of ordinal measures of hunting pressure on the aggregate primate biomass across different size classes after controlling for the effects of forest type acid productivity. These results are interpreted primarily in relation to patterns of niche partitioning between different primate functional groups or ecospecies. This study suggests that while overhunting drastically reduces the average body size in multi-species assemblages of forest vertebrates, depletion of large-bodied species is only partially offset (i.e. undercompensated) by smaller taxa."
"Peres, C. A.; Emilio, T.; Schietti, J.; Desmouliere, S. J. M.; Levi, T.;",2016,Dispersal limitation induces long-term biomass collapse in overhunted Amazonian forests,Proceedings of the National Academy of Sciences of the United States of America,tropical forest; hunting; forest carbon; ecosystem services; large; frugivores; tropical forests; carbon storage; rain-forest; tree recruitment; functional trait; seed dispersal; climate-change; empty forest; wood; density; bushmeat,"Tropical forests are the global cornerstone of biological diversity, and store 55% of the forest carbon stock globally, yet sustained provisioning of these forest ecosystem services may be threatened by hunting-induced extinctions of plant-animal mutualisms that maintain long-term forest dynamics. Large-bodied Atelinae primates and tapirs in particular offer nonredundant seed-dispersal services for many large-seeded Neotropical tree species, which on average have higher wood density than smaller-seeded and wind-dispersed trees. We used field data and models to project the spatial impact of hunting on large primates by similar to 1 million rural households throughout the Brazilian Amazon. We then used a unique baseline dataset on 2,345 1-ha tree plots arrayed across the Brazilian Amazon to model changes in aboveground forest biomass under different scenarios of hunting-induced large-bodied frugivore extirpation. We project that defaunation of the most harvest-sensitive species will lead to losses in aboveground biomass of between 2.5-5.8% on average, with some losses as high as 26.5-37.8%. These findings highlight an urgent need to manage the sustainability of game hunting in both protected and unprotected tropical forests, and place full biodiversity integrity, including populations of large frugivorous vertebrates, firmly in the agenda of reducing emissions from deforestation and forest degradation (REDD+) programs."
"Peres, C. A.; Nascimento, H. S.;",2006,Impact of game hunting by the Kayapo of south-eastern Amazonia: implications for wildlife conservation in tropical forest indigenous reserves,Biodiversity and Conservation,Amazonia; bushmeat; exploitation; forest resources; game management; hunting; indigenous reserves; source-sink dynamics; choice; vertebrates; neotropics; community; hunters; habitat; mammals; perils; parks; prey,"Indigenous forest reserves represent approximately one fifth of Brazilian Amazonia and pose enormous challenges for sustainable natural resource management by native Amazonians. In collaboration with the Kayapo Indians of A'Ukre of southeastern Amazonia, we obtained a game harvest profile of over 1360 forest vertebrates consumed at this village over a 20-month period, including 743 mammals, 361 forest tortoises and 256 birds from a minimum of 42 game species. This amounted to a total of 13,775 kg of game animals harvested over the entire study (mean = 26.2 kg d(-1)supercript stop). We also obtained some 450 km of line transect census data of midsized to large-bodied vertebrates within the core hunting catchment of this village and in an unhunted but otherwise comparable site upriver of A'Ukre. Population density estimates of 16 of the 18 species censused were significantly depressed by hunting by central place foragers within the village catchment, and a number of harvest-sensitive prey species showed clear evidence of local depletion. For the time being, however, we can conclude that hunting was sustainable at the landscape scale largely because source-sink dynamics in the context of low village catchment density is made possible by large surrounding tracts of primary forest that remain unharvested or underharvested."
"Peres, C. A.; Palacios, E.;",2007,Basin-wide effects of game harvest on vertebrate population densities in Amazonian forests: Implications for animal-mediated seed dispersal,Biotropica,dispersal limitation; game harvest; hunting; large vertebrates; meta-analysis; population density; seed dispersal; tropical forests; tropical forests; rain-forest; habitat fragmentation; primate; communities; unflooded forests; fruit production; wild meat; bushmeat; mammals; choice,"Vertebrate responses to hunting are widely variable for target and nontarget species depending on the history of hunting and productivity of any given site and the life history traits of game species. We provide a comprehensive meta-analysis of changes in population density or other abundance estimates for 30 mid-sized to large mammal, bird and reptile species in 101 hunted and nonhunted, but otherwise undisturbed, Neotropical forest sites. The data set was analyzed using both an unnested approach, based on population density estimates, and a nested approach in which pairwise comparisons of abundance metrics were restricted to geographic groups of sites sharing similar habitat and soil conditions. This resulted in 25 geographic clusters of sites within which 1811 population abundance estimates were compared across different levels of hunting pressure. Average nested changes in abundance across increasingly greater levels of hunting pressure ranged from moderately positive to highly negative. Populations of all species combined declined across greater differences in hunting pressure by up to 74.8 percent from their numeric abundance in less intensively hunted sites, but harvest-sensitive species faired far worse. Of the 30 species examined, 22 declined significantly at high levels of hunting. Body size significantly affected the direction and magnitude of abundance changes, with large-bodied species declining faster in overhunted sites. Frugivorous species showed more marked declines in abundance in heavily hunted sites than seed predators and browsers, regardless of the effects of body size. The implications of hunting for seed dispersal are discussed in terms of community dynamics in semi-defaunated tropical forests."
"Petrozzi, F.; Akani, G. C.; Amadi, N.; Eniang, E. A.; Gippoliti, S.; Luiselli, L.;",2015,Surveys of mammal communities in a system of five forest reserves suggest an ongoing biotic homogenization process for the Niger Delta (Nigeria),Tropical Zoology,Niger Delta; Mammalia; community ecology; conservation; species; diversity; southern nigeria; naja-nigricollis; species richness; bushmeat markets; spitting cobras; west-africa; terrestrial; melanoleuca; competition; diversity,"Community composition and an index of relative abundance were analyzed for mammals (excluding most rodents, shrews and bats) of five forest reserves in the Niger Delta (Southern Nigeria). Twenty-nine species were recorded, 86.2% of them being found in all protected areas. Although most of the species were already known from the study area, there were unexpected patterns concerning the duikers. Indeed, the presence of only one species (Philantomba walteri) (CH Smith, 1827) was confirmed, whereas at least five additional duiker species were reported for the study area by earlier authorities. Another duiker species (Cephalophus niger Gray, 1846) was recorded once during the present surveys and is not known whether it represents a stabilized presence in the Niger Delta. The empirical Abundance Index suggested that only three species were very rare (Trichechus senegalensis (Link, 1795), C. niger, and Pan troglodytes (Blumenbach, 1775)). Diversity-dominance diagrams showed that the evenness profiles were similar across study areas. Linear distance (Km) between the barycenters of forest reserves was significantly positively correlated with relative community composition dissimilarity. Overall, a biotic homogenization process for the mammal communities of the five forest reserves was observed, likely as an outcome of the high deforestation of the last 50 years."
"Petrozzi, F.; Amori, G.; Franco, D.; Gaubert, P.; Pacini, N.; Eniang, E. A.; Akani, G. C.; Politano, E.; Luiselli, L.;",2016,Ecology of the bushmeat trade in west and central Africa,Tropical Ecology,Africa; bushmeat trade; herbivores; hunting; tropical forests; wildlife trade; nigeria; cameroon; congo; market; conservation; dynamics; exploitation; subsistence,"The bushmeat trade in West and Central Africa embraces a broad range of ecological, economic, and conservation issues. To date, most studies have focused on the economic and conservation aspects of the bushmeat trade, with less emphasis on the ecological implications of wildlife extraction. Here, we analysed available literature on the bushmeat trade in 5 countries in west and central Africa exploring ecological traits such as niche width breadth and trophic position of the species involved, and habitats impacted. We also examine temporal changes over a 40-year period. Our results confirm that mammals dominated the trade in all studied areas and time periods, in terms of (i) number of species, (ii) number of traded individuals, and (iii) overall biomass. Herbivores were the most common trophic animal guild traded. Forest-specialists were the most abundant in the trade, and in riverine habitats reptile biomass almost as important as mammals. Overall, the most traded species and individuals were non-threatened according to the IUCN Red List. Our temporal analyses indicated that more habitat generalist and water-linked species were traded during 1971 - 2000, but forest dependent taxa predominated during the following decade (2001 - 2010). Additionally, the number of individuals of large-bodied herbivores rose relative to small and medium-sized ones, whereas traded biomass over time increased: (a) in the consumption of super-predators; (b) of large-bodied herbivores, but (c) a significant decrease in consumed biomass of medium and small-bodied herbivores. We suggest that the observed trends may suggest an imminent reduction of large-bodied herbivores and, as a cascade effect, also of super-predators in African moist forests."
"Pilcher, H.;",2005,Peter Walsh: Going ape,Nature,,"Peter Walsh of the Max Planck Institute for Evolutionary Anthropology in Leipzig, Germany believes there is reason to worry about the fate of the world's ape populations. His modelling studies suggest that ape populations in western equatorial Africa - the world's last stronghold for chimpanzees and gorillas - have been slashed by more than half in the past 20 years. Walsh blames illegalhunting and a serious epidemic of the deadly Ebola virus. Although biologistsacknowledge the bloody impact of the bushmeat trade, he is frustrated that few seem worried by the insidious threat from Ebola."
"Plumptre, A. J.; Bizumuremyi, J. B.; Uwimana, F.; Ndaruhebeye, J. D.;",1997,The effects of the Rwandan civil war on poaching of ungulates in the Parc National des Volcans,Oryx,forest,"One of the greatest threats that the mountain gorilla Gorilla gorilla beringei faces is the repeated setting of snares for ungulates by people living adjacent to the Pare National des Volcans in Rwanda. Two vets (one expatriate and one Rwandan) are permanently employed to monitor the health of habituated groups of mountain gorillas and to remove snares if an animal becomes caught in one. This study examined how snaring has changed as a result of the Rwandan civil war and how ungulates in the park have been affected. In the region around the Karisoke Research Station ungulate numbers have remained stable and in the case of the black-fronted duiker Cephalophus nigrifrons they have increased at higher altitudes. However, a questionnaire survey among local people showed that there has been a perceived decrease in crop raiding by all ungulates in the west of the park, suggesting It decline in numbers. In the east of the park there appears to have been a decrease in the numbers of black-fronted duikers but an increase in the number of buffaloes Syncerus caffer. The price of bushmeat in real terms has decreased since the war, despite the increase in the price of domestic meat, and poachers interviewed were selling bushmeat more frequently than they did before the war. The level of poaching, therefore, appears to have increased since the war."
"Plumptre, A. J.; Nixon, S.; Kujirakwinja, D. K.; Vieilledent, G.; Critchlow, R.; Williamson, E. A.; Nishuli, R.; Kirkby, A. E.; Hall, J. S.;",2016,Catastrophic Decline of World's Largest Primate: 80% Loss of Grauer's Gorilla (Gorilla beringei graueri) Population Justifies Critically Endangered Status,Plos One,species distribution models; biega national-park; spatial; autocorrelation; lowland gorillas; distributions; conservation; impacts; design; forest; census,"Grauer's gorilla (Gorilla beringei graueri), the World's largest primate, is confined to eastern Democratic Republic of Congo (DRC) and is threatened by civil war and insecurity. During the war, armed groups in mining camps relied on hunting bushmeat, including gorillas. Insecurity and the presence of several militia groups across Grauer's gorilla's range made it very difficult to assess their population size. Here we use a novel method that enables rigorous assessment of local community and ranger-collected data on gorilla occupancy to evaluate the impacts of civil war on Grauer's gorilla, which prior to the war was estimated to number 16,900 individuals. We show that gorilla numbers in their stronghold of Kahuzi-Biega National Park have declined by 87%. Encounter rate data of gorilla nests at 10 sites across its range indicate declines of 82-100% at six of these sites. Spatial occupancy analysis identifies three key areas as the most critical sites for the remaining populations of this ape and that the range of this taxon is around 19,700 km(2). We estimate that only 3,800 Grauer's gorillas remain in the wild, a 77% decline in one generation, justifying its elevation to Critically Endangered status on the IUCN Red List of Threatened Species."
"Plumptre, A.; McNeilage, A.; Hall, J.;",1999,"Gorillas, guerillas, bugs and bushmeat: the current status of gorillas and threats to their existence",American Journal of Physical Anthropology,,
"Pooley, S.; Fa, J. E.; Nasi, R.;",2014,Ebola and bushmeat,New Scientist,,
"Pooley, S.; Fa, J. E.; Nasi, R.;",2015,No conservation silver lining to Ebola,Conservation Biology,bushmeat; forests; congo,
"Poteete, Amy R.;",2009,Defining Political Community and Rights to Natural Resources in Botswana,Development and Change,,"Community-Based Natural Resource Management (CBNRM), once presented as the best way to protect common pool natural resources, now attracts a growing chorus of critiques that either question its underlying assumptions or emphasize problems related to institutional design. These critiques overlook connections between the definition of rights to natural resources and membership in political communities. The potential for competing definitions of political identity and rights across natural resources arises when property rights regimes differ across natural resources and these different systems of rights appeal to alternative definitions of community. In Botswana, the entangling of natural resource policy with identity politics contributed to a partial recentralization of CBNRM in 2007."
